Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
manim,CodeQL,CWE-079,1,No
manim,CodeQL,CWE-200,143,Yes
manim,CodeQL,CWE-396,2,No
manim,CodeQL,CWE-390,3,No
manim,CodeQL,CWE-628,1,No
manim,CodeQL,CWE-563,30,No
deeplake,CodeQL,CWE-532,1,No
deeplake,CodeQL,CWE-359,1,No
deeplake,CodeQL,CWE-312,1,No
deeplake,CodeQL,CWE-396,23,No
deeplake,CodeQL,CWE-390,18,No
deeplake,CodeQL,CWE-561,1,No
deeplake,CodeQL,CWE-200,68,Yes
deeplake,CodeQL,CWE-563,16,No
bbot,CodeQL,CWE-020,54,No
bbot,CodeQL,CWE-079,2,No
bbot,CodeQL,CWE-113,2,No
bbot,CodeQL,CWE-326,1,No
bbot,CodeQL,CWE-918,1,Yes
bbot,CodeQL,CWE-200,175,Yes
bbot,CodeQL,CWE-628,4,No
bbot,CodeQL,CWE-396,13,No
bbot,CodeQL,CWE-390,11,No
bbot,CodeQL,CWE-687,1,No
bbot,CodeQL,CWE-570,10,No
bbot,CodeQL,CWE-571,10,No
bbot,CodeQL,CWE-561,13,No
bbot,CodeQL,CWE-772,35,No
bbot,CodeQL,CWE-563,38,No
