Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
bbot,Bandit,CWE-20,11,Yes
bbot,Bandit,CWE-259,9,No
bbot,Bandit,CWE-326,1,No
bbot,Bandit,CWE-327,12,No
bbot,Bandit,CWE-330,56,No
bbot,Bandit,CWE-377,35,No
bbot,Bandit,CWE-502,10,Yes
bbot,Bandit,CWE-605,3,No
bbot,Bandit,CWE-703,4040,No
bbot,Bandit,CWE-78,36,Yes
bbot,Bandit,CWE-89,2,Yes
bbot,CodeQL,CWE-020,54,No
bbot,CodeQL,CWE-079,2,No
bbot,CodeQL,CWE-113,2,No
bbot,CodeQL,CWE-200,175,Yes
bbot,CodeQL,CWE-326,1,No
bbot,CodeQL,CWE-390,11,No
bbot,CodeQL,CWE-396,13,No
bbot,CodeQL,CWE-561,13,No
bbot,CodeQL,CWE-563,38,No
bbot,CodeQL,CWE-570,10,No
bbot,CodeQL,CWE-571,10,No
bbot,CodeQL,CWE-628,4,No
bbot,CodeQL,CWE-687,1,No
bbot,CodeQL,CWE-772,35,No
bbot,CodeQL,CWE-918,1,Yes
bbot,Semgrep,CWE-1333,3,No
bbot,Semgrep,CWE-269,1,Yes
bbot,Semgrep,CWE-326,3,No
bbot,Semgrep,CWE-327,3,No
bbot,Semgrep,CWE-502,10,Yes
bbot,Semgrep,CWE-706,2,No
bbot,Semgrep,CWE-78,1,Yes
bbot,Semgrep,CWE-79,4,Yes
bbot,Semgrep,CWE-798,7,Yes
bbot,Semgrep,CWE-89,8,Yes
bbot,Semgrep,CWE-915,1,No
bbot,Semgrep,CWE-95,1,No
bbot,Semgrep,CWE-96,2,No
deeplake,Bandit,CWE-22,1,Yes
deeplake,Bandit,CWE-259,1,No
deeplake,Bandit,CWE-400,2,Yes
deeplake,Bandit,CWE-502,2,Yes
deeplake,Bandit,CWE-703,36,No
deeplake,Bandit,CWE-89,1,Yes
deeplake,CodeQL,CWE-200,68,Yes
deeplake,CodeQL,CWE-312,1,No
deeplake,CodeQL,CWE-359,1,No
deeplake,CodeQL,CWE-390,18,No
deeplake,CodeQL,CWE-396,23,No
deeplake,CodeQL,CWE-532,1,No
deeplake,CodeQL,CWE-561,1,No
deeplake,CodeQL,CWE-563,16,No
deeplake,Semgrep,CWE-502,2,Yes
deeplake,Semgrep,CWE-939,1,No
manim,Bandit,CWE-20,2,Yes
manim,Bandit,CWE-22,1,Yes
manim,Bandit,CWE-330,5,No
manim,Bandit,CWE-502,2,Yes
manim,Bandit,CWE-703,38,No
manim,Bandit,CWE-78,18,Yes
manim,CodeQL,CWE-079,1,No
manim,CodeQL,CWE-200,143,Yes
manim,CodeQL,CWE-390,3,No
manim,CodeQL,CWE-396,2,No
manim,CodeQL,CWE-563,30,No
manim,CodeQL,CWE-628,1,No
manim,Semgrep,CWE-502,2,Yes
manim,Semgrep,CWE-78,1,Yes
manim,Semgrep,CWE-939,1,No
manim,Semgrep,CWE-95,2,No
